years_before_2023,co2_ppmv,temp_anomaly,ch4_ppb
0,421.08,0.89,1911.83
1,418.53,0.89,1911.83
2,416.41,0.85,1895.28
3,414.21,1.02,1878.93
4,411.65,0.98,1866.58
5,408.72,0.85,1857.33
6,406.76,0.92,1849.58
7,404.41,1.02,1843.12
8,401.01,0.9,1834.26
9,398.81,0.75,1822.53
10,396.74,0.68,1813.43
11,394.06,0.65,1808.12
12,391.85,0.61,1803.14
13,390.1,0.72,1798.91
14,387.64,0.66,1793.52
15,385.83,0.54,1787.01
16,384.02,0.66,1781.38
17,382.09,0.64,1774.94
18,379.98,0.68,1774.16
19,377.7,0.53,1777.05
20,375.98,0.62,1777.33
21,373.45,0.63,1772.66
22,371.32,0.54,1771.22
23,369.71,0.39,1773.22
24,368.54,0.38,1772.33
25,366.84,0.61,1765.54
26,363.88,0.46,1754.48
27,362.74,0.33,1751.28
28,360.97,0.45,1748.88
29,358.96,0.31,1742.07
30,357.21,0.23,1736.53
31,356.54,0.22,1735.47
32,355.7,0.41,1724.78
33,354.45,0.45,1714.43
34,353.2,0.27,1704.53
35,351.69,0.39,1693.28
36,349.31,0.32,1682.7
37,347.61,0.18,1670.09
38,346.35,0.12,1657.29
39,344.87,0.16,1644.85
40,343.15,0.31,1612.875
41,341.48,0.14,1580.9
42,340.12,0.32,1564.0
43,338.76,0.26,1547.1
44,336.84,0.16,1530.55
45,335.41,0.07,1514.0
46,333.84,0.18,1497.75
47,332.03,-0.1,1481.5
48,331.13,-0.01,1465.4
49,330.19,-0.07,1449.3
50,329.68,0.16,1433.4
51,327.46,0.01,1417.5
52,326.32,-0.08,1401.75
53,325.68,0.03,1386.0
54,324.62,0.05,1370.65
55,323.05,-0.08,1355.3
56,322.18,-0.02,1340.65
57,321.37,-0.06,1326.0
58,320.04,-0.11,1312.2
59,319.62,-0.2,1298.4
60,318.99,0.05,1285.3000000000002
61,318.45,0.03,1272.2
62,317.64,0.06,1259.85
63,316.91,-0.02,1247.5
64,315.98,0.03,1235.85
65,314.57216625352925,0.06,1224.2
66,315.342073915026,0.05,1213.3000000000002
67,315.02801762946575,-0.19,1202.4
68,314.7139613439055,-0.14,1192.25
69,313.1710570119369,-0.13,1182.1
70,312.1844627182946,0.08,1172.9499999999998
71,312.09312016428913,0.01,1163.8
72,312.0017776102837,-0.07,1155.65
73,313.6602846482332,-0.17,1147.5
74,309.6939936066409,-0.11,1140.35
75,311.57094999761165,-0.1,1133.2
76,310.36290017732523,-0.02,1126.9
77,312.5596867804179,-0.07,1120.6
78,310.440204448011,0.09,1115.0
79,312.36164019507424,0.21,1109.4
80,311.878053578341,0.09,1104.2
81,312.393938618938,0.07,1099.0
82,311.80226771747726,0.19,1093.95
83,309.80091502114107,0.13,1088.9
84,310.4566675193962,-0.01,1083.9
85,311.52050972739016,0.0,1078.9
86,307.4076931745866,-0.02,1073.8000000000002
87,309.3446868650601,-0.14,1068.7
88,309.4876564720523,-0.19,1045.95
89,309.6306260790445,-0.12,1023.2
90,305.94402817135216,-0.28,1017.6
91,305.84247343281436,-0.15,1012.0
92,305.7409186942765,-0.09,1006.4
93,305.3808267142061,-0.15,1003.2666666666667
94,305.78294147245686,-0.36,1000.1333333333333
95,308.01874186181465,-0.2,997.0
96,306.49394932449894,-0.21,993.0
97,304.96915678718324,-0.1,989.0
98,304.7159146968185,-0.22,982.4333333333333
99,305.45726949837,-0.27,975.8666666666667
100,306.19862429992156,-0.26,969.3
101,304.75770299226656,-0.28,962.7333333333333
102,303.3167816846115,-0.18,956.1666666666666
103,301.8758603769565,-0.27,949.6
104,304.61320734820134,-0.27,943.0333333333333
105,303.85222132002366,-0.29,936.4666666666667
106,302.88368601574757,-0.46,929.9
107,301.9151507114715,-0.36,927.1333333333333
108,300.7000886560916,-0.14,924.3666666666667
109,300.9989074394065,-0.15,921.6
110,301.29772622272134,-0.34,917.2285714285714
111,299.25727749401767,-0.36,912.8571428571429
112,298.10624698316605,-0.44,908.4857142857143
113,297.86910679162327,-0.43,904.1142857142858
114,301.50413540464433,-0.48,899.7428571428571
115,300.8783779196671,-0.43,895.3714285714286
116,300.25262043468996,-0.38,891.0
117,299.62686294971274,-0.22,887.2333333333333
118,297.80911038318015,-0.26,883.4666666666667
119,295.9913578166476,-0.47,879.7
120,295.8009973233111,-0.37,875.9333333333333
121,295.6106368299745,-0.28,872.1666666666666
122,294.22072160003313,-0.15,868.4
123,295.6340430582942,-0.08,862.4
124,297.0473645165553,-0.17,860.7166666666667
125,296.39965774978833,-0.27,859.0333333333333
126,295.7519509830213,-0.1,857.3499999999999
127,295.1042442162543,-0.11,855.6666666666666
128,294.45653744948726,-0.22,853.9833333333333
129,293.80883068272027,-0.3,852.3
130,294.8594308441452,-0.31,836.8
131,293.545467030972,-0.27,836.16
132,292.2315032177988,-0.22,835.52
133,290.9175394046256,-0.35,834.88
134,292.6296634359558,-0.11,834.24
