"Category","Annual Mean","5-yr smooth"
1901,8.83,8.86
1902,8.85,8.84
1903,8.81,8.83
1904,8.79,8.83
1905,9,8.85
1906,9.01,8.87
1907,8.69,8.92
1908,9.35,8.98
1909,8.62,9.05
1910,8.88,9.09
1911,9.39,9.11
1912,8.92,9.09
1913,9.18,9.04
1914,9.35,8.97
1915,8.69,8.9
1916,8.92,8.86
1917,8.45,8.85
1918,9.19,8.9
1919,8.46,8.98
1920,9.23,9.07
1921,10.21,9.15
1922,8.66,9.2
1923,8.91,9.19
1924,9.05,9.16
1925,8.87,9.11
1926,9.5,9.06
1927,9.08,9.05
1928,9.28,9.07
1929,9.11,9.14
1930,8.96,9.23
1931,9.12,9.32
1932,9.36,9.4
1933,9.69,9.44
1934,9.68,9.44
1935,9.32,9.41
1936,9.25,9.38
1937,9.12,9.34
1938,9.62,9.31
1939,9.44,9.31
1940,9.33,9.33
1941,9.02,9.37
1942,9.2,9.42
1943,9.76,9.48
1944,9.54,9.55
1945,10.15,9.6
1946,9.26,9.65
1947,9.22,9.66
1948,9.78,9.64
1949,10.3,9.57
1950,9.16,9.47
1951,8.96,9.35
1952,9.07,9.25
1953,9.7,9.19
1954,9.13,9.19
1955,9.27,9.26
1956,9.05,9.36
1957,9.69,9.46
1958,9.3,9.52
1959,10.07,9.51
1960,9.27,9.41
1961,9.41,9.26
1962,8.59,9.08
1963,8.44,8.93
1964,9.34,8.83
1965,8.69,8.82
1966,9.23,8.88
1967,9.08,8.99
1968,9.18,9.12
1969,8.96,9.23
1970,9.19,9.31
1971,9.71,9.34
1972,8.84,9.34
1973,9.47,9.32
1974,9.09,9.3
1975,9.68,9.27
1976,9.48,9.26
1977,9.21,9.26
1978,9.28,9.25
1979,8.54,9.24
1980,9.13,9.21
1981,9.21,9.17
1982,9.42,9.13
1983,9.69,9.09
1984,9.34,9.07
1985,8.73,9.09
1986,8.36,9.15
1987,9.07,9.24
1988,9.5,9.35
1989,9.96,9.46
1990,10,9.55
1991,9.5,9.62
1992,9.44,9.65
1993,9.27,9.66
1994,9.48,9.66
1995,10.01,9.66
1996,9.13,9.67
1997,10.18,9.69
1998,10,9.72
1999,10,9.77
2000,9.62,9.82
2001,9.54,9.87
2002,9.9,9.92
2003,10.01,9.97
2004,9.89,10
2005,10.02,10
2006,10.14,9.96
2007,10.27,9.88
2008,9.64,9.78
2009,9.66,9.66
2010,8.71,9.55
2011,9.76,9.48
2012,9.5,9.45
2013,9.49,9.48
2014,10.09,9.55
2015,9.44,9.64
2016,9.75,9.73
2017,9.99,9.82
2018,9.69,9.89
2019,9.86,9.95
2020,9.78,9.99
2021,9.94,10.03
2022,10.35,10.07
