"Category","Annual Mean","5-yr smooth"
1901,1071.26,1131.46
1902,1017.68,1112.63
1903,1370.8,1095.09
1904,1085.16,1080.07
1905,960.97,1068.96
1906,1020.74,1062.97
1907,1101.47,1063.24
1908,1080.17,1069.48
1909,994.39,1080.55
1910,1176,1095.37
1911,1067.51,1112.85
1912,1133.28,1131.91
1913,1171.3,1150.5
1914,1176,1165.84
1915,1147.14,1175.06
1916,1293.55,1175.29
1917,1041.17,1163.65
1918,1220.37,1140.51
1919,961.95,1113
1920,1261.86,1089.03
1921,957.57,1076.74
1922,1011.51,1084.05
1923,1232.65,1116
1924,1380.22,1164.35
1925,1094.42,1216.61
1926,1068.07,1260.69
1927,1224.1,1284.37
1928,1394.25,1276.76
1929,1204.17,1241.53
1930,1343.4,1190.98
1931,1200.41,1137.5
1932,1077.76,1093.37
1933,851.38,1070.95
1934,1151.2,1072.77
1935,1068.51,1090.37
1936,1125.43,1114.7
1937,1135.03,1136.48
1938,1260.76,1146.7
1939,1085.78,1140.72
1940,1152.76,1124.67
1941,1006.18,1106.4
1942,1100.91,1093.65
1943,1115.04,1094.17
1944,1128.99,1113.59
1945,1058.35,1145.9
1946,1271.18,1181.52
1947,1277.78,1210.84
1948,1275.92,1224.27
1949,1061.64,1213.05
1950,1227.92,1180.33
1951,1210.41,1137.01
1952,938.01,1094.03
1953,943.57,1062.72
1954,1291.08,1053.81
1955,1000.95,1069.85
1956,1114.32,1102.5
1957,1124.05,1142.31
1958,1299.94,1180.16
1959,1109.97,1206.81
1960,1388.42,1216.33
1961,1115.08,1211.72
1962,1086,1197.56
1963,1062.91,1178.39
1964,1124.71,1158.71
1965,1251.3,1142.48
1966,1264.89,1129.48
1967,1151.61,1118.01
1968,1172.02,1106.38
1969,965.37,1092.96
1970,1117.25,1076.27
1971,864.01,1057.96
1972,1094.4,1042.02
1973,1049.56,1032.59
1974,1195.98,1033.69
1975,944.2,1049.32
1976,1030.26,1079.52
1977,1186.23,1118.01
1978,1117.57,1158.28
1979,1217.04,1193.72
1980,1248.28,1217.81
1981,1183.39,1226.08
1982,1294.12,1221.31
1983,1138.95,1207.53
1984,1125.07,1188.71
1985,1176.76,1168.99
1986,1273.75,1152.06
1987,1037.14,1139.52
1988,1235.33,1132.1
1989,1056.7,1130.56
1990,1193.79,1135.62
1991,1074.42,1147.88
1992,1136.8,1165.91
1993,1232.64,1186.31
1994,1312.17,1205.8
1995,1158.88,1221.05
1996,1146.77,1228.76
1997,1150.4,1227.67
1998,1318.77,1220.09
1999,1264.76,1208.6
2000,1288.24,1195.8
2001,973.28,1184.35
2002,1453.81,1176.27
2003,1001.85,1171.66
2004,1119.15,1170.22
2005,1099.32,1171.63
2006,1213.15,1175.56
2007,1103.07,1181.68
2008,1352.58,1189.56
2009,1382.19,1198.65
2010,1055.1,1208.43
2011,1175.29,1218.41
2012,1218.65,1228.09
2013,1126.59,1236.8
2014,1357.32,1243.85
2015,1372.15,1248.52
2016,1128.37,1250.11
2017,1178.49,1247.89
2018,1209.96,1241.65
2019,1293.03,1232.12
2020,1355.8,1220.08
2021,1150.11,1206.43
2022,1152.55,1191.95
